County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,None,Don't Know,Not Stated
Male,"69,601","3,919","36,217","16,297","4,526","2,470",36,1,"5,915",148,72
Female,"70,453","3,743","37,135","16,280","5,417","2,029",19,,"5,665",119,46
NANDI CENTRAL,"123,620","9,404","65,934","25,410","7,635","3,611",180,,"10,769",558,119
Male,"61,703","4,798","32,574","12,813","3,481","2,092",88,,"5,509",290,58
Female,"61,913","4,606","33,357","12,596","4,154","1,519",92,,"5,260",268,61
NANDI EAST,"101,090","7,785","54,101","20,401","6,226","2,381",49,1,"9,752",200,194
Male,"51,192","3,978","26,913","10,699","2,994","1,371",31,1,"4,994",113,98
Female,"49,896","3,807","27,186","9,702","3,232","1,010",18,,"4,758",87,96
NANDI NORTH,"138,862","7,730","78,372","29,100","7,036","2,733",67,1,"13,282",287,254
Male,"69,415","3,885","38,693","14,789","3,301","1,569",35,,"6,838",169,136
Female,"69,444","3,845","39,676","14,311","3,735","1,164",32,1,"6,444",118,118
NANDI SOUTH,"145,263","10,149","80,981","28,838","7,671","2,631",103,1,"14,285",341,263
Male,"72,624","5,138","40,096","14,335","3,789","1,584",61,,"7,293",176,152
Female,"72,636","5,011","40,882","14,503","3,882","1,047",42,1,"6,992",165,111
TINDERET,"95,364","6,567","56,762","16,255","4,165","1,374",64,,"9,862",143,172
Male,"48,870","3,373","28,311","8,872","2,101",870,35,,"5,116",86,106
Female,"46,493","3,194","28,451","7,383","2,064",504,29,,"4,745",57,66
BARINGO,"445,727","24,456","226,431","100,918","31,394","12,366",322,2,"47,670","1,279",889
Male,"227,913","12,548","114,103","52,734","15,091","7,267",177,1,"24,838",675,479
Female,"217,804","11,908","112,324","48,182","16,302","5,099",145,,"22,830",604,410
BARINGO CENTRAL,"81,414","3,687","37,990","20,971","8,201","3,408",14,,"6,757",294,92
Male,"40,778","1,843","18,943","10,609","3,772","1,914",6,,"3,500",144,47
Female,"40,636","1,844","19,047","10,362","4,429","1,494",8,,"3,257",150,45
BARINGO NORTH,"82,312","4,405","44,545","17,096","5,473","1,704",38,1,"8,573",231,246
Male,"42,037","2,269","22,294","8,817","2,798","1,063",16,,"4,527",117,136
Female,"40,273","2,136","22,250","8,279","2,675",641,22,,"4,046",114,110
EAST POKOT,"15,563","1,342","7,388","2,606",670,296,53,,"3,030",42,136
Male,"8,572",718,"3,918","1,596",404,205,34,,"1,602",24,71
Female,"6,990",624,"3,470","1,010",266,91,19,,"1,427",18,65
KOIBATEK,"111,168","5,213","55,879","28,505","8,074","3,367",26,1,"9,757",224,122
Male,"56,265","2,645","28,189","14,627","3,676","1,883",16,1,"5,037",128,63
Female,"54,901","2,568","27,689","13,877","4,398","1,484",10,,"4,720",96,59
MARIGAT,"66,652","4,253","35,848","13,034","3,177","1,200",44,,"8,891",90,115
Male,"34,272","2,108","17,852","7,136","1,620",798,20,,"4,627",45,66
Female,"32,377","2,145","17,995","5,897","1,556",402,24,,"4,264",45,49
MOGOTIO,"72,874","4,191","37,051","16,475","5,048","2,081",52,,"7,652",232,92
Male,"37,248","2,213","18,805","8,525","2,335","1,181",34,,"3,978",123,54
Female,"35,624","1,978","18,245","7,950","2,713",900,18,,"3,673",109,38
TIATY EAST,"15,744","1,365","7,730","2,231",751,310,95,,"3,010",166,86
Male,"8,741",752,"4,102","1,424",486,223,51,,"1,567",94,42
Female,"7,003",613,"3,628",807,265,87,44,,"1,443",72,44
LAIKIPIA,"396,236","16,969","200,605","106,500","25,252","10,222",119,,"34,848","1,328",393
Male,"201,391","8,727","100,927","54,346","12,446","6,065",64,,"17,882",713,221
Female,"194,837","8,242","99,673","52,153","12,806","4,157",55,,"16,964",615,172
LAIKIPIA CENTRAL,"82,872","2,639","41,933","24,296","5,997","1,892",8,,"5,782",229,96
Male,"41,828","1,396","21,130","12,134","2,894","1,112",4,,"3,001",107,50
Female,"41,044","1,243","20,803","12,162","3,103",780,4,,"2,781",122,46
LAIKIPIA EAST,"81,439","2,728","37,031","24,895","7,244","2,915",31,,"6,279",238,78
Male,"41,595","1,417","18,492","13,132","3,529","1,656",16,,"3,177",135,41
Female,"39,839","1,311","18,535","11,763","3,715","1,259",15,,"3,101",103,37
LAIKIPIA NORTH,"16,261","1,034","8,841","2,327",475,148,12,,"3,357",48,19
Male,"8,901",540,"4,775","1,418",293,108,5,,"1,714",34,14
Female,"7,360",494,"4,066",909,182,40,7,,"1,643",14,5
LAIKIPIA WEST,"85,629","4,679","47,688","19,098","3,294","1,190",44,,"9,092",414,130
Male,"44,371","2,433","24,291","10,090","1,778",757,25,,"4,706",217,74
Female,"41,257","2,246","23,396","9,008","1,516",433,19,,"4,386",197,56
NYAHURURU,"130,035","5,889","65,112","35,884","8,242","4,077",24,,"10,338",399,70
Male,"64,696","2,941","32,239","17,572","3,952","2,432",14,,"5,284",220,42
Female,"65,337","2,948","32,873","18,311","4,290","1,645",10,,"5,053",179,28
NAKURU,"1,817,950","86,017","884,543","498,450","127,430","57,798",362,4,"156,250","4,494","2,602"
Male,"910,222","43,492","434,439","254,694","59,495","33,819",165,3,"80,224","2,467","1,424"
Female,"907,648","42,520","450,066","243,730","67,932","23,976",197,1,"76,022","2,027","1,177"
GILGIL,"155,494","8,527","73,083","46,883","9,866","3,629",34,,"12,742",451,279
Male,"78,968","4,312","35,972","25,072","4,563","2,088",14,,"6,555",236,156
Female,"76,519","4,214","37,107","21,809","5,303","1,541",20,,"6,187",215,123
KURESOI NORTH,"144,244","8,526","86,318","28,112","4,250","1,549",44,,"15,111",206,128
Male,"72,651","4,360","42,230","14,803","2,272","1,011",22,,"7,769",115,69
Female,"71,590","4,165","44,088","13,307","1,978",538,22,,"7,342",91,59
KURESOI SOUTH,"127,475","8,537","73,526","24,780","5,174","2,116",37,,"12,845",204,256
Male,"64,618","4,412","36,034","13,120","2,698","1,384",19,,"6,671",129,151
Female,"62,855","4,124","37,491","11,660","2,476",732,18,,"6,174",75,105
MOLO,"132,470","6,204","72,276","33,617","5,792","2,458",32,,"11,593",258,240
Male,"66,760","3,196","35,878","17,144","2,861","1,516",18,,"5,863",157,127
Female,"65,705","3,008","36,397","16,470","2,931",942,14,,"5,729",101,113
NAIVASHA,"295,597","13,069","135,759","92,185","22,075","7,567",38,,"23,577",905,422
Male,"148,476","6,450","66,444","47,380","10,857","4,526",18,,"12,080",500,221
Female,"147,096","6,619","69,301","44,797","11,218","3,039",20,,"11,497",405,200
NAKURU EAST,"167,180","5,172","58,102","54,965","23,894","12,141",16,1,"12,008",547,334
Male,"79,609","2,529","27,355","26,539","9,987","6,635",8,1,"6,076",302,177
Female,"87,563","2,643","30,742","28,423","13,907","5,506",8,,"5,932",245,157
NAKURU NORTH,"186,999","7,721","85,673","54,608","16,184","6,898",27,1,"15,132",517,238
Male,"91,722","3,856","41,885","26,600","7,108","4,084",9,,"7,774",272,134
Female,"95,263","3,865","43,781","28,002","9,076","2,814",18,1,"7,357",245,104
NAKURU WEST,"167,901","5,734","65,448","58,613","16,856","7,593",18,,"12,897",499,243
Male,"85,621","2,869","32,572","30,866","7,940","4,423",8,,"6,518",286,139
Female,"82,272","2,864","32,874","27,745","8,914","3,170",10,,"6,378",213,104
NJORO,"201,002","10,550","113,885","43,181","7,787","4,727",55,1,"20,224",429,163
Male,"100,999","5,380","56,181","21,973","3,864","2,923",25,1,"10,352",211,89
Female,"100,000","5,169","57,703","21,208","3,923","1,803",30,,"9,872",218,74
RONGAI,"167,895","7,833","79,932","44,562","12,673","8,006",36,,"14,310",313,230
Male,"84,779","3,994","39,976","22,600","5,863","4,515",12,,"7,517",176,126
Female,"83,112","3,839","39,954","21,962","6,809","3,491",24,,"6,792",137,104
SUBUKIA,"71,693","4,144","40,541","16,944","2,879","1,114",25,1,"5,811",165,69
Male,"36,019","2,134","19,912","8,597","1,482",714,12,1,"3,049",83,35
Female,"35,673","2,010","20,628","8,347","1,397",400,13,,"2,762",82,34
NAROK,"750,610","63,320","411,482","122,446","29,664","11,918",629,,"108,204","1,474","1,473"
Male,"385,487","31,766","205,132","67,546","15,820","7,811",338,,"55,375",845,854
Female,"365,113","31,554","206,347","54,897","13,843","4,106",291,,"52,827",629,619
NAROK EAST,"69,566","5,303","38,687","11,457","2,577",806,35,,"10,269",264,168
Male,"36,269","2,742","19,702","6,300","1,412",590,15,,"5,280",139,89
Female,"33,297","2,561","18,985","5,157","1,165",216,20,,"4,989",125,79
NAROK NORTH,"171,884","12,213","86,287","35,798","10,019","5,019",86,,"21,483",490,489
Male,"88,857","6,298","44,038","19,156","4,820","3,036",50,,"10,877",290,292
Female,"83,021","5,915","42,248","16,640","5,198","1,983",36,,"10,604",200,197
NAROKSOUTH,"142,614","13,040","81,432","20,026","4,402","1,518",148,,"21,689",183,176
Male,"73,278","6,545","40,488","11,322","2,421","1,036",89,,"11,159",106,112
Female,"69,335","6,495","40,944","8,703","1,981",482,59,,"10,530",77,64
NAROK WEST,"107,281","8,996","61,363","14,217","3,425","1,308",76,,"17,516",199,181
Male,"55,867","4,581","30,944","8,151","1,977",925,41,,"9,025",117,106
Female,"51,413","4,415","30,419","6,066","1,448",382,35,,"8,491",82,75
TRANS MARA EAST,"83,904","8,132","50,536","10,269","2,438",933,141,,"11,256",99,100
Male,"41,905","3,926","24,213","5,697","1,398",654,65,,"5,828",62,62
Female,"41,998","4,206","26,322","4,572","1,040",279,76,,"5,428",37,38
TRANS MARA WEST,"175,329","15,636","93,176","30,657","6,796","2,332",143,,"25,991",239,359
Male,"89,283","7,674","45,746","16,901","3,785","1,569",78,,"13,206",131,193
Female,"86,045","7,962","47,429","13,756","3,011",763,65,,"12,785",108,166
MAU FOREST,32,,1,22,7,2,,,,,
Male,28,,1,19,7,1,,,,,
Female,4,,,3,,1,,,,,
KAJIADO,"820,583","43,012","334,149","220,627","82,644","49,215",388,3,"84,627","3,100","2,818"
Male,"414,248","21,785","165,935","112,603","39,188","28,237",196,3,"43,030","1,712","1,559"
Female,"406,310","21,226","168,204","108,019","43,453","20,974",192,,"41,595","1,388","1,259"
ISINYA,"175,419","5,195","59,988","59,076","22,265","12,693",72,,"13,844",922,"1,364"
Male,"87,444","2,697","29,316","29,583","10,373","7,297",30,,"6,925",511,712
Female,"87,970","2,498","30,670","29,491","11,892","5,395",42,,"6,919",411,652
KAJIADO CENTRAL,"100,957","6,878","47,364","20,819","6,635","2,409",70,3,"15,857",511,411
Male,"52,946","3,482","24,336","11,475","3,515","1,497",45,3,"8,047",291,255
Female,"48,010","3,396","23,027","9,344","3,120",912,25,,"7,810",220,156
KAJIADO NORTH,"269,219","8,799","91,039","84,137","37,049","27,823",42,,"18,996",863,471
Male,"131,968","4,353","43,615","41,548","16,617","15,501",20,,"9,579",481,254
Female,"137,240","4,446","47,420","42,588","20,429","12,319",22,,"9,417",382,217
KAJIADO WEST,"110,635","7,853","50,465","24,631","8,038","3,624",51,,"15,344",300,329
Male,"57,365","4,030","25,685","13,121","4,016","2,220",28,,"7,897",179,189
Female,"53,266","3,822","24,778","11,509","4,022","1,404",23,,"7,447",121,140
LOITOKITOK,"117,737","10,656","63,372","20,510","5,377","1,626",105,,"15,531",391,169
Male,"60,277","5,346","31,740","10,870","2,918","1,090",46,,"7,975",191,101
Female,"57,457","5,310","31,631","9,639","2,459",536,59,,"7,555",200,68
MASHUURU,"46,616","3,631","21,921","11,454","3,280","1,040",48,,"5,055",113,74
Male,"24,248","1,877","11,243","6,006","1,749",632,27,,"2,607",59,48
Female,"22,367","1,754","10,678","5,448","1,531",408,21,,"2,447",54,26
KERICHO,"761,280","40,246","407,704","174,656","50,155","22,045",243,,"64,016","1,318",897
Male,"383,958","20,448","199,521","91,483","25,335","13,001",125,,"32,785",768,492
Female,"377,298","19,796","208,167","83,168","24,820","9,044",118,,"31,230",550,405
BELGUT,"126,487","6,282","65,717","31,872","9,543","4,225",17,,"8,592",166,73
Male,"63,851","3,236","31,981","16,849","4,864","2,405",9,,"4,378",94,35
Female,"62,636","3,046","33,736","15,023","4,679","1,820",8,,"4,214",72,38
BURETI,"170,168","8,587","88,030","42,381","11,651","5,121",61,,"13,892",272,173
Male,"84,965","4,358","42,733","21,589","5,914","3,016",30,,"7,064",159,102
Female,"85,199","4,228","45,294","20,792","5,737","2,105",31,,"6,828",113,71
KERICHO EAST,"144,922","5,676","72,506","36,280","12,322","6,435",39,,"11,175",303,186
Male,"73,884","2,933","36,155","19,155","5,914","3,732",19,,"5,702",170,104
Female,"71,032","2,743","36,346","17,124","6,408","2,703",20,,"5,473",133,82
KIPKELION,"99,231","6,545","56,936","18,734","4,284","1,671",50,,"10,582",204,225
Male,"50,186","3,258","27,866","9,971","2,308","1,102",28,,"5,422",111,120
Female,"49,042","3,287","29,068","8,762","1,976",569,22,,"5,160",93,105
LONDIANI,"115,539","7,349","63,856","25,289","6,069","2,358",22,,"10,275",203,118
Male,"58,013","3,713","31,296","13,153","3,031","1,387",9,,"5,234",125,65
Female,"57,516","3,635","32,554","12,134","3,038",971,13,,"5,040",78,53
SOIN SIGOWET,"104,933","5,807","60,659","20,100","6,286","2,235",54,,"9,500",170,122
Male,"53,059","2,950","29,490","10,766","3,304","1,359",30,,"4,985",109,66
Female,"51,873","2,857","31,169","9,333","2,982",876,24,,"4,515",61,56
BOMET,"730,765","40,702","407,459","152,152","44,191","18,307",210,3,"65,560","1,296",885
Male,"367,044","20,595","195,605","81,140","23,098","11,307",112,,"33,997",715,475
Female,"363,704","20,107","211,841","71,010","21,093","7,000",98,3,"31,561",581,410
BOMET EAST,"116,913","6,773","69,080","20,722","6,081","2,378",42,2,"11,360",242,233
Male,"58,544","3,455","32,640","11,343","3,207","1,581",21,,"6,053",125,119
Female,"58,364","3,318","36,436","9,379","2,874",797,21,2,"5,306",117,114
CHEPALUNGU,"134,977","8,631","80,015","23,329","6,735","2,767",38,,"13,086",211,165
Male,"66,615","4,326","37,365","12,563","3,604","1,775",21,,"6,747",119,95
Female,"68,359","4,305","42,647","10,766","3,131",992,17,,"6,339",92,70
KONOIN,"139,219","7,875","75,686","31,527","8,451","3,584",48,,"11,645",246,157
Male,"71,443","3,980","37,532","16,972","4,458","2,190",26,,"6,082",127,76
Female,"67,773","3,895","38,151","14,555","3,993","1,394",22,,"5,563",119,81
SOTIK,"191,969","10,360","103,113","43,029","12,419","5,188",47,1,"17,236",387,189
Male,"95,879","5,278","49,487","22,328","6,413","3,186",23,,"8,821",232,111
Female,"96,087","5,082","53,625","20,700","6,006","2,002",24,1,"8,414",155,78
BOMET CENTRAL,"147,687","7,063","79,565","33,545","10,505","4,390",35,,"12,233",210,141
Male,"74,563","3,556","38,581","17,934","5,416","2,575",21,,"6,294",112,74
Female,"73,121","3,507","40,982","15,610","5,089","1,815",14,,"5,939",98,67
KAKAMEGA,"1,540,079","95,203","871,892","307,854","70,741","31,321",833,2,"157,022","3,308","1,903"
Male,"748,263","47,829","417,759","145,749","34,311","18,852",459,1,"80,486","1,819",998
Female,"791,786","47,373","454,114","162,102","36,429","12,469",374,1,"76,530","1,489",905
BUTERE,"125,735","7,813","74,859","22,760","4,838","1,758",70,,"13,306",237,94
Male,"61,302","3,944","35,830","10,841","2,515","1,102",42,,"6,834",139,55
Female,"64,431","3,869","39,027","11,919","2,323",656,28,,"6,472",98,39
KAKAMEGA CENTRAL,"160,124","8,514","73,693","39,317","14,171","9,789",86,,"13,879",419,256
Male,"78,850","4,225","36,095","18,924","6,536","5,518",52,,"7,117",243,140
Female,"81,272","4,289","37,597","20,393","7,635","4,271",34,,"6,761",176,116
KAKAMEGA EAST,"137,680","8,427","82,087","25,522","5,884","1,988",74,,"13,215",221,262
Male,"67,017","4,389","39,457","11,885","2,929","1,197",43,,"6,869",118,130
Female,"70,660","4,038","42,629","13,636","2,954",791,31,,"6,346",103,132
KAKAMEGA NORTH,"200,695","15,990","109,557","41,407","8,762","2,976",144,,"21,295",331,233
Male,"97,982","8,032","52,828","19,739","4,327","1,846",89,,"10,811",190,120
Female,"102,708","7,958","56,726","21,668","4,435","1,130",55,,"10,482",141,113
KAKAMEGA SOUTH,"92,328","5,015","54,050","17,898","4,438","1,434",49,1,"9,226",149,68
Male,"44,571","2,580","25,718","8,288","2,167",887,28,,"4,788",71,44
Female,"47,757","2,435","28,332","9,610","2,271",547,21,1,"4,438",78,24
KHWISERO,"94,315","4,825","58,715","17,035","2,987","1,046",11,,"9,358",292,46
Male,"45,348","2,434","27,886","7,835","1,545",692,5,,"4,777",151,23
Female,"48,964","2,390","30,828","9,200","1,442",354,6,,"4,580",141,23
LIKUYANI,"126,184","9,343","67,505","28,617","5,500","2,446",103,,"11,938",478,254
Male,"61,457","4,716","32,616","13,488","2,576","1,473",49,,"6,141",262,136
Female,"64,725","4,627","34,888","15,128","2,924",973,54,,"5,797",216,118
LUGARI,"103,752","5,870","56,474","24,867","5,127","1,822",66,,"9,246",208,72
Male,"50,314","2,928","27,323","11,696","2,398","1,082",31,,"4,708",110,38
Female,"53,438","2,942","29,151","13,171","2,729",740,35,,"4,538",98,34
MATETE,"53,800","2,883","30,657","11,406","2,126",748,29,,"5,739",103,109
Male,"26,058","1,453","14,671","5,339","1,023",483,15,,"2,947",67,60
Female,"27,742","1,430","15,986","6,067","1,103",265,14,,"2,792",36,49
MATUNGU,"129,809","7,084","80,236","21,397","3,934","1,626",50,1,"15,197",138,146
Male,"62,646","3,512","38,051","10,235","1,905","1,049",23,1,"7,708",84,78
Female,"67,160","3,572","42,183","11,162","2,029",577,27,,"7,488",54,68
MUMIAS EAST,"95,765","5,215","56,620","17,184","4,115","1,878",35,,"10,513",140,65
Male,"46,604","2,579","26,985","8,266","2,034","1,189",18,,"5,425",74,34
Female,"49,158","2,636","29,632","8,918","2,081",689,17,,"5,088",66,31
MUMIAS WEST,"93,820","6,983","51,837","17,923","4,414","2,336",48,,"10,038",140,101
Male,"45,482","3,392","24,741","8,614","2,041","1,366",26,,"5,182",70,50
Female,"48,337","3,591","27,095","9,309","2,373",970,22,,"4,856",70,51
NAVAKHOLO,"126,072","7,241","75,602","22,521","4,445","1,474",68,,"14,072",452,197
Male,"60,632","3,645","35,558","10,599","2,315",968,38,,"7,179",240,90
Female,"65,434","3,596","40,040","11,921","2,130",506,30,,"6,892",212,107
VIHIGA,"502,269","32,648","281,893","107,602","24,665","9,590",237,2,"43,701","1,365",566
Male,"243,452","16,404","135,227","50,536","12,067","5,849",124,2,"22,234",696,313
Female,"258,808","16,244","146,661","57,065","12,596","3,741",113,,"21,466",669,253
EMUHAYA,"81,673","5,978","47,872","15,435","3,114","1,112",30,,"7,849",210,73
Male,"39,406","2,938","22,834","7,135","1,575",710,19,,"4,032",118,45
Female,"42,266","3,040","25,037","8,300","1,539",402,11,,"3,817",92,28
VIHIGA,"82,039","3,405","45,263","19,311","4,910","1,843",28,,"6,936",242,101
Male,"39,569","1,715","21,552","9,067","2,387","1,114",18,,"3,552",113,51
Female,"42,468","1,690","23,710","10,244","2,522",729,10,,"3,384",129,50
SABATIA,"113,939","6,183","62,641","26,961","6,265","2,460",23,,"8,980",324,102
Male,"54,898","3,077","29,860","12,737","3,001","1,468",11,,"4,537",148,59
Female,"59,040","3,106","32,781","14,224","3,264",992,12,,"4,442",176,43
LUANDA,"89,866","7,307","49,102","18,675","4,344","1,698",39,,"8,360",242,99
Male,"43,850","3,749","23,652","8,759","2,199","1,033",20,,"4,244",137,57
Female,"46,014","3,558","25,449","9,915","2,145",665,19,,"4,116",105,42
HAMISI,"134,736","9,775","77,013","27,209","6,029","2,477",117,2,"11,576",347,191
Male,"65,717","4,925","37,328","12,829","2,903","1,524",56,2,"5,869",180,101
Female,"69,016","4,850","39,683","14,380","3,125",953,61,,"5,707",167,90
KAKAMEGA FOREST,16,,2,11,3,,,,,,
Male,12,,1,9,2,,,,,,
Female,4,,1,2,1,,,,,,
BUNGOMA,"1,371,156","82,508","735,200","305,720","69,584","28,992",791,3,"143,844","2,219","2,295"
Male,"670,362","40,789","351,525","149,597","34,340","17,884",412,1,"73,318","1,246","1,250"
Female,"700,766","41,716","383,661","156,117","35,243","11,108",379,2,"70,522",973,"1,045"
BUMULA,"172,337","13,855","99,885","30,745","6,298","2,022",109,1,"19,055",190,177
Male,"83,438","6,714","47,198","15,015","3,225","1,325",67,1,"9,668",112,113
Female,"88,898","7,141","52,686","15,730","3,073",697,42,,"9,387",78,64
BUNGOMA CENTRAL,"147,962","8,588","78,954","34,534","7,417","2,387",61,,"15,373",217,431
Male,"72,091","4,246","37,577","16,730","3,788","1,576",34,,"7,792",117,231
Female,"75,866","4,342","41,375","17,802","3,628",811,27,,"7,581",100,200
BUNGOMA EAST,"97,994","5,527","50,871","23,983","5,006","1,988",39,,"10,219",188,173
Male,"47,819","2,818","24,349","11,624","2,394","1,194",19,,"5,208",112,101
Female,"50,173","2,709","26,521","12,358","2,612",794,20,,"5,011",76,72
BUNGOMA NORTH,"102,879","4,589","55,882","25,177","5,177","2,053",33,,"9,766",135,67
Male,"49,950","2,377","26,733","11,814","2,583","1,301",15,,"5,014",76,37
Female,"52,928","2,212","29,149","13,362","2,594",752,18,,"4,752",59,30
BUNGOMA SOUTH,"232,497","11,869","109,857","57,675","18,310","10,400",223,1,"23,224",481,457
Male,"113,113","5,760","52,481","27,800","8,499","6,140",120,,"11,792",279,242
Female,"119,380","6,109","57,373","29,874","9,811","4,260",103,1,"11,432",202,215
CHEPTAIS,"107,151","7,582","62,471","18,914","2,968",999,84,,"13,666",144,323
Male,"53,943","3,740","30,264","10,259","1,628",697,43,,"7,061",75,176
Female,"53,203","3,841","32,205","8,655","1,340",302,41,,"6,603",69,147
KIMILILI,"131,584","8,615","69,512","30,479","6,584","2,781",73,1,"13,030",337,172
Male,"63,964","4,235","33,311","14,624","3,224","1,693",33,,"6,580",179,85
Female,"67,617","4,378","36,200","15,855","3,360","1,088",40,1,"6,450",158,87
MT. ELGON,"64,470","3,103","36,824","13,740","2,791","1,142",28,,"6,778",31,33
Male,"32,347","1,562","17,825","7,314","1,417",733,14,,"3,448",17,17
Female,"32,120","1,541","18,997","6,426","1,374",409,14,,"3,329",14,16
BUNGOMA WEST,"98,358","5,592","56,048","19,893","4,051","1,190",91,,"11,103",152,238
Male,"48,203","2,798","26,621","9,953","2,135",797,42,,"5,651",83,123
Female,"50,154","2,794","29,426","9,940","1,916",393,49,,"5,452",69,115
TONGAREN,"83,916","4,496","45,665","20,040","4,110","1,397",20,,"7,979",160,49
Male,"40,937","2,309","21,956","9,488","2,094",894,7,,"4,082",80,27
Female,"42,978","2,187","23,709","10,551","2,016",503,13,,"3,897",80,22
WEBUYE WEST,"129,406","8,622","67,389","30,237","6,851","2,623",28,,"13,302",181,173
Male,"63,162","4,202","32,230","14,796","3,340","1,529",17,,"6,837",114,97
Female,"66,242","4,420","35,158","15,441","3,511","1,094",11,,"6,464",67,76
MT. ELGON FOREST,"2,602",70,"1,842",303,21,10,2,,349,3,2
Male,"1,395",28,980,180,13,5,1,,185,2,1
Female,"1,207",42,862,123,8,5,1,,164,1,1
BUSIA,"712,283","49,016","406,074","136,243","29,375","12,155",416,3,"77,230","1,069",702
Male,"346,688","23,629","191,628","69,006","14,690","7,582",237,2,"38,932",580,402
Female,"365,573","25,385","214,432","67,235","14,685","4,573",179,1,"38,294",489,300
BUNYALA,"69,899","4,572","41,287","12,586","2,443",901,24,,"7,864",144,78
Male,"34,803","2,181","19,524","6,986","1,394",629,11,,"3,943",78,57
Female,"35,095","2,391","21,762","5,600","1,049",272,13,,"3,921",66,21
BUSIA,"111,961","6,334","62,052","23,707","5,744","2,588",40,,"11,210",146,140
Male,"54,529","3,090","29,443","11,869","2,780","1,578",16,,"5,607",70,76
Female,"57,431","3,243","32,609","11,838","2,964","1,010",24,,"5,603",76,64
BUTULA,"108,839","10,179","63,124","18,253","3,510","1,557",105,1,"11,835",186,89
Male,"51,941","4,793","29,408","8,791","1,728","1,009",65,1,"5,996",101,49
Female,"56,896","5,386","33,715","9,461","1,782",548,40,,"5,839",85,40
NAMBALE,"89,790","5,512","53,030","16,681","3,588","1,681",41,1,"9,015",127,114
Male,"43,172","2,769","25,010","8,036","1,697","1,024",24,1,"4,471",76,64
Female,"46,615","2,743","28,017","8,645","1,891",657,17,,"4,544",51,50
SAMIA,"85,399","6,343","49,234","15,856","3,256","1,279",61,,"9,184",136,50
Male,"41,813","2,991","23,147","8,349","1,741",849,41,,"4,595",76,24
Female,"43,574","3,351","26,079","7,507","1,515",430,20,,"4,586",60,26
TESO NORTH,"113,783","6,640","63,085","24,552","5,030","1,748",52,1,"12,421",184,70
Male,"55,450","3,230","29,675","12,526","2,471","1,073",26,,"6,307",102,40
Female,"58,332","3,410","33,410","12,026","2,559",675,26,1,"6,113",82,30
TESO SOUTH,"132,612","9,436","74,262","24,608","5,804","2,401",93,,"15,701",146,161
Male,"64,980","4,575","35,421","12,449","2,879","1,420",54,,"8,013",77,92
Female,"67,630","4,861","38,840","12,158","2,925",981,39,,"7,688",69,69
SIAYA,"824,640","45,208","484,845","157,416","31,637","14,819",218,6,"87,251","1,880","1,360"
Male,"399,523","22,184","227,211","77,742","16,374","9,655",120,2,"44,475","1,035",725
Female,"425,101","23,024","257,624","79,672","15,261","5,164",98,4,"42,774",845,635
SIAYA,"183,103","10,053","108,404","33,606","7,362","3,516",41,,"19,333",532,256
Male,"88,402","4,946","50,788","16,427","3,659","2,246",22,,"9,881",299,134
Female,"94,697","5,107","57,614","17,177","3,703","1,270",19,,"9,452",233,122
GEM,"150,388","7,601","92,190","27,017","5,247","2,381",17,2,"15,516",246,171
Male,"73,231","3,852","43,648","13,221","2,713","1,576",7,,"7,977",134,103
Female,"77,154","3,749","48,541","13,796","2,534",805,10,2,"7,537",112,68
UGENYA,"108,513","5,921","66,949","19,045","3,057","1,520",36,,"11,718",160,107
Male,"52,294","2,936","31,239","9,310","1,591","1,003",23,,"6,049",87,56
Female,"56,215","2,985","35,708","9,735","1,464",517,13,,"5,669",73,51
UGUNJA,"86,090","4,483","50,731","16,703","3,266","1,551",24,,"8,995",238,99
Male,"41,391","2,188","23,595","8,273","1,656",994,12,,"4,495",127,51
Female,"44,699","2,295","27,136","8,430","1,610",557,12,,"4,500",111,48
BONDO,"167,724","9,211","93,517","34,959","7,657","3,814",50,4,"17,683",431,398
Male,"81,899","4,453","43,980","17,517","4,017","2,468",27,2,"8,988",242,205
Female,"85,822","4,758","49,534","17,442","3,640","1,346",23,2,"8,695",189,193
RARIEDA,"128,822","7,939","73,054","26,086","5,048","2,037",50,,"14,006",273,329
Male,"62,306","3,809","33,961","12,994","2,738","1,368",29,,"7,085",146,176
Female,"66,514","4,130","39,091","13,092","2,310",669,21,,"6,921",127,153
KISUMU,"978,105","53,362","481,724","236,991","69,207","36,298",332,2,"97,158","1,800","1,231"
Male,"478,889","26,015","227,318","118,712","34,237","21,556",179,,"49,221","1,007",644
Female,"499,198","27,347","254,395","118,274","34,970","14,740",153,2,"47,937",793,587
KISUMU EAST,"189,994","8,603","84,724","51,866","17,508","8,403",46,1,"18,309",318,216
Male,"93,726","4,166","40,239","26,179","8,609","4,944",25,,"9,278",184,102
Female,"96,264","4,437","44,483","25,685","8,899","3,459",21,1,"9,031",134,114
KISUMU CENTRAL,"151,206","4,397","54,494","46,601","20,162","13,117",15,1,"11,764",461,194
Male,"72,527","2,148","25,141","22,651","9,196","7,228",8,,"5,809",248,98
Female,"78,675","2,249","29,352","23,948","10,966","5,888",7,1,"5,955",213,96
KISUMU WEST,"145,629","7,983","72,200","36,548","9,583","5,048",57,,"13,688",252,270
Male,"72,142","3,929","34,364","18,616","4,863","3,038",27,,"7,001",157,147
