County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,None,Don't Know,Not Stated
MERU CENTRAL,"113,818","4,560","63,944","26,563","7,786","2,418",52,,"7,896",429,170
Male,"58,082","2,433","33,156","12,926","3,825","1,367",28,,"4,014",238,95
Female,"55,733","2,127","30,787","13,635","3,961","1,051",24,,"3,882",191,75
TIGANIA CENTRAL,"81,247","6,727","51,061","11,861","2,900","1,287",49,,"7,015",256,91
Male,"40,888","3,405","25,529","5,910","1,430",815,29,,"3,567",149,54
Female,"40,359","3,322","25,532","5,951","1,470",472,20,,"3,448",107,37
TIGANIA EAST,"52,912","2,882","32,595","8,916","2,298","1,102",16,,"4,791",161,151
Male,"26,146","1,475","15,789","4,437","1,123",702,8,,"2,440",93,79
Female,"26,764","1,406","16,805","4,479","1,175",400,8,,"2,351",68,72
TIGANIA WEST,"112,439","6,936","70,020","19,527","4,806","1,903",32,,"8,583",419,213
Male,"55,657","3,550","34,082","9,603","2,387","1,186",14,,"4,454",259,122
Female,"56,780","3,386","35,937","9,923","2,419",717,18,,"4,129",160,91
MERU NATIONAL PARK,279,3,60,143,55,6,,,12,,
Male,210,2,39,116,42,4,,,7,,
Female,69,1,21,27,13,2,,,5,,
MT. KENYA FOREST,357,8,263,60,16,5,,,2,3,
Male,313,7,233,51,15,3,,,1,3,
Female,44,1,30,9,1,2,,,1,,
THARAKA-NITHI,"324,735","17,844","177,102","73,308","21,353","9,390",189,,"23,604","1,451",494
Male,"162,637","9,107","88,717","36,060","10,032","5,477",101,,"12,105",752,286
Female,"162,093","8,737","88,382","37,246","11,321","3,913",88,,"11,499",699,208
IGAMBANG'OMBE,"43,160","2,591","26,478","7,407","1,955",650,17,,"3,615",329,118
Male,"21,790","1,291","13,385","3,647",933,413,9,,"1,882",167,63
Female,"21,369","1,300","13,092","3,760","1,022",237,8,,"1,733",162,55
MAARA,"100,251","4,167","52,976","26,528","7,482","2,837",15,,"5,775",361,110
Male,"50,814","2,092","27,244","13,082","3,523","1,583",9,,"3,015",192,74
Female,"49,437","2,075","25,732","13,446","3,959","1,254",6,,"2,760",169,36
MERU SOUTH,"78,987","3,487","37,620","21,957","6,824","3,917",15,,"4,671",386,110
Male,"39,388","1,820","19,047","10,561","3,133","2,225",9,,"2,329",207,57
Female,"39,597","1,667","18,573","11,394","3,691","1,692",6,,"2,342",179,53
THARAKA NORTH,"42,198","3,734","24,901","6,853","1,721",642,109,,"3,936",197,105
Male,"21,044","1,918","12,184","3,528",839,404,59,,"1,942",109,61
Female,"21,153","1,816","12,716","3,325",882,238,50,,"1,994",88,44
THARAKA SOUTH,"59,985","3,864","35,103","10,456","3,359","1,341",33,,"5,600",178,51
Male,"29,530","1,986","16,843","5,199","1,595",851,15,,"2,933",77,31
Female,"30,454","1,878","18,259","5,257","1,764",490,18,,"2,667",101,20
MT. KENYA FOREST,154,1,24,107,12,3,,,7,,
Male,71,,14,43,9,1,,,4,,
Female,83,1,10,64,3,2,,,3,,
EMBU,"517,269","27,621","273,675","131,788","36,627","13,859",167,2,"31,690","1,496",344
Male,"262,672","14,254","140,996","65,267","17,115","7,882",87,1,"16,086",793,191
Female,"254,578","13,367","132,672","66,513","19,512","5,976",80,1,"15,601",703,153
EMBU EAST,"111,127","5,467","59,064","30,222","7,622","2,414",32,,"5,945",292,69
Male,"56,420","2,848","30,379","14,932","3,596","1,366",15,,"3,093",149,42
Female,"54,705","2,619","28,684","15,290","4,026","1,048",17,,"2,851",143,27
EMBU NORTH,"68,261","4,476","33,305","19,981","4,981","1,550",22,2,"3,789",134,21
Male,"34,819","2,383","17,220","9,871","2,429",875,13,1,"1,947",69,11
Female,"33,441","2,093","16,085","10,109","2,552",675,9,1,"1,842",65,10
EMBU WEST,"109,340","4,602","47,120","32,365","12,601","5,862",17,,"6,267",426,80
Male,"54,284","2,370","24,276","15,512","5,482","3,229",8,,"3,138",226,43
Female,"55,047","2,232","22,841","16,848","7,119","2,632",9,,"3,129",200,37
MBEERE SOUTH,"138,377","8,008","80,333","31,044","6,810","2,352",72,,"9,197",436,125
Male,"71,777","4,161","41,872","15,926","3,430","1,402",35,,"4,638",241,72
Female,"66,595","3,847","38,458","15,117","3,380",950,37,,"4,558",195,53
MBEERE NORTH,"90,143","5,068","53,851","18,164","4,607","1,680",24,,"6,492",208,49
Male,"45,354","2,492","27,247","9,016","2,173","1,009",16,,"3,270",108,23
Female,"44,787","2,576","26,604","9,147","2,434",671,8,,"3,221",100,26
MT. KENYA FOREST,21,,2,12,6,1,,,,,
Male,18,,2,10,5,1,,,,,
Female,3,,,2,1,,,,,,
KITUI,"908,143","58,274","543,941","157,798","46,724","16,347",489,1,"77,767","4,804","1,998"
Male,"450,111","29,902","264,695","79,384","22,893","9,622",273,,"39,890","2,403","1,049"
Female,"458,011","28,369","279,234","78,410","23,831","6,725",216,1,"37,875","2,401",949
