S_No,REGION,COUNTY,SUB_COUNTY,UIC,KNEC,SCHOOL_NAME,CLUSTER,TYPE,DISABILITY_TYPE,ACCOMMODATION_TYPE,GENDER
84,RIFT VALLEY,BARINGO,KOIBATEK,7PHC,33521209,KAMURA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
85,RIFT VALLEY,BARINGO,KOIBATEK,MCVN,33521117,KAPCHOLOI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
86,RIFT VALLEY,BARINGO,KOIBATEK,NQCN,33521125,KIPKORIONY MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
87,RIFT VALLEY,BARINGO,KOIBATEK,2HB3,33521120,KIPKUYANG SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
88,RIFT VALLEY,BARINGO,KOIBATEK,9U6Y,33521301,KIPLOMBE DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
89,RIFT VALLEY,BARINGO,KOIBATEK,8STM,33521124,KIPTUNO DAY MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
90,RIFT VALLEY,BARINGO,KOIBATEK,C5J8,33521303,LEBOLOS SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
91,RIFT VALLEY,BARINGO,KOIBATEK,UFAJ,33521210,LELGEL SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
92,RIFT VALLEY,BARINGO,KOIBATEK,PYUM,33521104,MAJI MAZURI GIRLS HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
93,RIFT VALLEY,BARINGO,KOIBATEK,XTLH,33521111,MAJI MAZURI MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
94,RIFT VALLEY,BARINGO,KOIBATEK,UY2M,33521128,MAJI MAZURI R.C SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
95,RIFT VALLEY,BARINGO,KOIBATEK,7RUQ,33521307,MARY KEITANY SHOE4 AFRICA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
96,RIFT VALLEY,BARINGO,KOIBATEK,U3K5,33521101,MERCY GIRLS HIGH SCHOOL - ELDAMA RAVINE,C2,PUBLIC,NONE,BOARDING,GIRLS
97,RIFT VALLEY,BARINGO,KOIBATEK,5J5G,33521205,MOI HIGHLAND HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
98,RIFT VALLEY,BARINGO,KOIBATEK,T5Q4,33521203,MUMBERES GIRL'S SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
99,RIFT VALLEY,BARINGO,KOIBATEK,UH77,33521305,MUSERECHI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
100,RIFT VALLEY,BARINGO,KOIBATEK,CTSR,33521211,NYAKIO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
101,RIFT VALLEY,BARINGO,KOIBATEK,GGYQ,33521106,POROR HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,MIXED
102,RIFT VALLEY,BARINGO,KOIBATEK,K9H6,33521107,SABATIA SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
103,RIFT VALLEY,BARINGO,KOIBATEK,Q9XU,33521304,SAGAT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
104,RIFT VALLEY,BARINGO,KOIBATEK,DPBZ,33521108,SAOS SECONDARY SCHOOL,C2,PUBLIC,NONE,DAY,MIXED
105,RIFT VALLEY,BARINGO,KOIBATEK,WLS6,33521110,SIGORO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
106,RIFT VALLEY,BARINGO,KOIBATEK,7NL9,33521122,SIMOTWET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
107,RIFT VALLEY,BARINGO,KOIBATEK,QDT9,33521121,SINONIN SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
108,RIFT VALLEY,BARINGO,KOIBATEK,93KE,33521105,SOLIAN GIRLS HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
109,RIFT VALLEY,BARINGO,KOIBATEK,FLVX,33521306,SOLIAN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
110,RIFT VALLEY,BARINGO,KOIBATEK,D236,33521208,SOYMINING MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
111,RIFT VALLEY,BARINGO,KOIBATEK,S8LT,33521206,ST. MARY'S BOITO HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
