Serial_No,School_Code,School_Name,Category,Type,Cluster
255,15304102,KAAGA GIRLS' HIGH SCHOOL,Extra County,Girls,C1
256,15304103,KAAGA BOYS SECONDARY,Extra County,Boys,C1
257,15309301,IGEMBE BOYS' SECONDARY SCHOOL,Extra County,Boys,C1
258,15319101,NKUBU HIGH SCHOOL,Extra County,Boys,C1
259,15319104,NKUENE GIRLS HIGH SCHOOL,Extra County,Girls,C1
260,15319205,YURURU GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
261,15319306,GIKURUNE BOYS SECONDARY SCHOOL,Extra County,Boys,C1
262,15334102,ONTULILI BOYS SECONDARY SCHOOL,Extra County,Boys,C1
263,15361115,MIKINDURI GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
264,15362101,BURIERURI BOYS SECONDARY SCHOOL,Extra County,Boys,C1
265,16320302,CHALBI BOYS' HIGH SCHOOL,Extra County,Boys,C1
266,18307102,MAKUENI GIRLS HIGH SCHOOL,Extra County,Girls,C1
267,18307105,MWAANI BOYS' SECONDARY SCHOOL,Extra County,Boys,C1
268,18307201,KAUMONI BOYS SECONDARY SCHOOL,Extra County,Boys,C1
269,18323102,MBOONI BOYS HIGH SCHOOL,Extra County,Boys,C1
270,18324205,NGOTO BOYS HIGH SCHOOL,Extra County,Boys,C1
271,18324206,BARAZANI GIRLS' HIGH SCHOOL,Extra County,Girls,C1
272,18325201,KALULINI BOYS' HIGH SCHOOL,Extra County,Boys,C1
273,18325209,ST. JOSEPH'S GIRLS SECONDARY KIBWEZI,Extra County,Girls,C1
274,18336101,PRECIOUS BLOOD SECONDARY SCHOOL - KILUNGU,Extra County,Girls,C1
275,18346101,KITONDO SECONDARY SCHOOL,Extra County,Boys,C1
276,18346102,KISAU GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
278,18347501,MUKAA BOYS' HIGH SCHOOL,Extra County,Boys,C1
279,18348101,MAKINDU SECONDARY SCHOOL,Extra County,Boys,C1
280,19308301,CHUKA BOYS HIGH SCHOOL,Extra County,Boys,C1
281,19308304,CHUKA GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
282,19308503,IKUU GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
283,19308504,NJURI HIGH SCHOOL,Extra County,Mixed,C1
284,19313101,THARAKA SECONDARY SCHOOL,Extra County,Boys,C1
285,19326101,MUTHAMBI GIRLS HIGH SCHOOL,Extra County,Girls,C1
286,19326105,KAJIUNDUTHI HIGH SCHOOL,Extra County,Boys,C1
287,19326201,CHOGORIA BOYS HIGH SCHOOL,Extra County,Boys,C1
288,19367501,ITUGURURU SECONDARY SCHOOL,Extra County,Mixed,C1
289,20401001,AQUINAS HIGH SCHOOL,Extra County,Boys,C1
290,20401005,OFAFA JERICHO HIGH SCHOOL,Extra County,Boys,C1
291,20401007,BURUBURU GIRLS SECONDARY,Extra County,Girls,C1
292,20403003,PUMWANI SECONDARY SCHOOL,Extra County,Boys,C1
293,20403004,NGARA GIRLS' HIGH SCHOOL,Extra County,Girls,C1
294,20405004,PRECIOUS BLOOD RIRUTA,Extra County,Girls,C1
295,20405007,NEMBU GIRLS HIGH SCHOOL,Extra County,Girls,C1
296,20406002,STATEHOUSE GIRLS HIGH SCHOOL,Extra County,Girls,C1
297,20406011,ST. GEORGE'S GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
298,20410001,MOI GIRLS' SCHOOL NAIROBI,Extra County,Girls,C1
299,20410002,UPPER HILL SCHOOL,Extra County,Boys,C1
300,23503108,BOMA BOYS' HIGH SCHOOL,Extra County,Boys,C1
301,23503110,KITALE SCHOOL-SECONDARY,Extra County,Girls,C1
302,23503111,ST JOSEPH'S GIRLS' HIGH SCHOOL KITALE,Extra County,Girls,C1
303,23528101,ST MARK'S HIGH SCHOOL - CHERANGANI,Extra County,Boys,C1
304,23528116,ST. MARK'S GIRLS HIGH SCHOOL,Extra County,Girls,C1
306,23529132,"ST. MONICA'S GIRLS HIGH SCHOOL, KITALE",Extra County,Girls,C1
307,23574101,ST.ANTHONY'S BOYS' HIGH SCHOOL - KITALE,Extra County,Boys,C1
