Serial_No,School_Code,School_Name,Category,Type,Cluster
4206,15318212,NGUCHIA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4207,15318213,GACURU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4208,15318313,KAGUMA MIXED SECONDARY SCHOOL,Sub County,Mixed,
4209,15318315,KIANTHUMBI MIXED SECONDARY SCHOOL,Sub County,Mixed,
4210,15318318,KITHIRUNE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4211,15318319,MURI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4212,15318321,MUTHANGENE DAY SECONDARY SCHOOL,Sub County,Mixed,
4213,15318322,MBWINJERU DAY SECONDARY SCHOOL,Sub County,Mixed,
4214,15318324,KATHIRANGA DAY SECONDARY SCHOOL,Sub County,Mixed,
4215,15318325,KINJO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4216,15318327,MURUUGI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4217,15319111,KITHUNGURI SECONDARY SCHOOL,Sub County,Mixed,
4218,15319112,NKUMARI SECONDARY SCHOOL,Sub County,Mixed,
4219,15319113,2 0K2A0T HKACNPET HSAECTOU NMDIXAERDY DSACYH OSOECL OCNHDOAICREYS LSICSTHOOL,Sub County,Mixed,
4220,15319114,ACK MITUNGUU BOYS BOARDING SECONDARY SCHOOL,Sub County,Mixed,
4221,15319115,KAUBAU DAY SECONDARY SCHOOL,Sub County,Mixed,
4222,15319116,KIGARINE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4223,15319117,NKUBU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4224,15319118,KAGWAMPUNGU DAY SECONDARY SCHOOL,Sub County,Mixed,
4225,15319119,UPPER MIKUMBUNE SECONDARY SCHOOL,Sub County,Mixed,
4226,15319120,RWOMPO SECONDARY SCHOOL,Sub County,Mixed,
4227,15319121,GAKONDI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4228,15319122,KIANJOGU MIXED DAY SECONDARY,Sub County,Mixed,
4229,15319207,MUUTIOKIAMA SECONDARY SCHOOL,Sub County,Mixed,
4230,15319209,ST.EUGENE SECONDARY SCHOOL,Sub County,Mixed,
4231,15319211,NTHARENE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4232,15319212,YURURU DAY SECONDARY SCHOOL,Sub County,Mixed,
4233,15319213,LOWER CHURE DAY SECONDARY SCHOOL,Sub County,Mixed,
4234,15319215,KIONYO SECONDARY SCHOOL,Sub County,Mixed,
4235,15319216,BLESSED JOSEPH GERALD DAY SECONDARY SCHOOL,Sub County,Mixed,
4236,15319217,MENWE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4237,15319218,GAATIA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4238,15319219,KAIRAA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4239,15319220,ST. MARTIN'S NGONGO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4240,15319222,KOTHINE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4241,15319223,NYOMBA YATHI DAY SECONDARY SCHOOL,Sub County,Mixed,
4242,15319224,KITHAKANARO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4243,15319225,IGANDENE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4244,15319304,KIANGUA SECONDARY SCHOOL,Sub County,Boys,
4245,15319309,KIUNE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4246,15319311,MUREMBU DAY SECONDARY SCHOOL,Sub County,Mixed,
4247,15319312,2 0M2W0 EKRCUP EM SIXECEOD NDDAAYR SYE SCCOHNODOALR CYH SOCIHCOESO LLIST,Sub County,Mixed,
4248,15319313,KAROE DAY MIXED SECONDARY SCHOOL,Sub County,Mixed,
4249,15319314,ST JOSEPHS INTEGRATED SECONDARY SCHOOL,Sub County,Mixed,
4250,15319315,KATHIGU DAY SECONDARY SCHOOL,Sub County,Mixed,
4251,15319316,MUGAE HILL MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4252,15319317,RURAMA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4253,15319319,MBAINE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4254,15319320,KINORO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4255,15319322,GEETO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4256,15319323,MUTUNGURU SECONDARY SCHOOL,Sub County,Mixed,
4257,15319325,MUKARAGATINE SECONDARY SCHOOL,Sub County,Mixed,
4258,15319326,ST. PAULS GITINE SECONDARY SCHOOL,Sub County,Mixed,
4259,15327112,KUNENE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4260,15327114,MUCUUNE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4261,15327115,THINYAINE DAY SECONDARY SCHOOL,Sub County,Mixed,
4262,15327116,MIATHENE MIXED SECONDARY SCHOOL,Sub County,Mixed,
4263,15327117,URRU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4264,15327119,ST JOHNS' NCHOORO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4265,15327121,LUBUNU SECONDARY SCHOOL,Sub County,Mixed,
4266,15327122,THAU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4267,15327123,MACHEGENE MIXED SECONDARY SCHOOL,Sub County,Mixed,
4268,15327124,MACHAKU DAY SECONDARY SCHOOL,Sub County,Mixed,
4269,15327125,MUTHIONJURI DAY SECONDARY SCHOOL,Sub County,Mixed,
4270,15327126,LACIATHURIU MIXED SECONDARY SCHOOL,Sub County,Mixed,
4271,15327127,ST. CLARE GIRLS ' CENTRE,Sub County,Girls,
4272,15327128,KALIATI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4273,15327129,NKANGA SECONDARY SCHOOL,Sub County,Mixed,
4274,15327130,KAAMU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4275,15327131,2 0T2W0A KLCEP DEA SYE CSOENCODNADRAY RSYC HSOCOHOL OCHLOICES LIST,Sub County,Mixed,
4276,15327132,KIBIRU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4277,15327133,KITHIIRI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4278,15327134,MAKANDI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4279,15327135,NAIRIRI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4280,15327136,K.K. LUMBI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4281,15327137,KIRUKIRE DAY MIXED SECONDARY SCHOOL,Sub County,Mixed,
4282,15327138,KAMAROO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4283,15327139,AMWARI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4284,15327140,LAIRANG'I MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4285,15327141,K.K RWANJWEE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4286,15327142,MWANIKA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4287,15327144,KIORIMBA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4288,15327145,MWERONKORO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4289,15327146,MCK NTIBA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4290,15327147,ST. AUGUSTINE- LUURIA DAY SECONDARY SCHOOL,Sub County,Mixed,
4291,15327148,AMATU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4292,15327149,MITUNTU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4293,15327150,KAMITONGU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4294,15327151,KIANDIU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4295,15334104,KANGAITA MIXED SECONDARY SCHOOL,Sub County,Mixed,
4296,15334105,ONTULILI MIXED SECONDARY SCHOOL,Sub County,Mixed,
4297,15334106,KITHITHINA MIXED SECONDARY SCHOOL,Sub County,Mixed,
4298,15334107,NTIRIMITI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4299,15334108,GUNDUA DAY SECONDARY SCHOOL,Sub County,Mixed,
4300,15334109,NGUSISHI SECONDARY SCHOOL,Sub County,Mixed,
4301,15334110,ANGAINE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4302,15334111,MARITATI DAY SECONDARY SCHOOL,Sub County,Mixed,
4303,15334112,2 0N2G0A KRCEP NED SAERCOE NMDIXAERDY DSACYH OSEOCL OCNHDOAICREYS SLCISHTOOL,Sub County,Mixed,
4304,15334113,TIMAU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4305,15334114,SIRIMON MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4306,15334115,AIPCA SUBUIGA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4307,15337106,ST. MARY'S NTANKI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4308,15337107,MIRIKI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4309,15337109,NAIRURU SECONDARY SCHOOL,Sub County,Mixed,
4310,15337110,ANJALU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4311,15337112,KARICHU MIXED SECONDARY SCHOOL,Sub County,Mixed,
4312,15337115,KATHATENE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4313,15337204,KATHANGA SECONDARY SCHOOL,Sub County,Mixed,
4314,15337205,KITHETU SECONDARY SCHOOL,Sub County,Mixed,
4315,15337206,AMBARU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4316,15337207,K.K. BAITHAI SECONDARY SCHOOL,Sub County,Mixed,
4317,15337208,NKAMATHI SECONDARY SCHOOL,Sub County,Mixed,
4318,15337209,LEETA DAY SECONDARY SCHOOL,Sub County,Mixed,
4319,15337210,MBURANJIRU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4320,15337211,MBAYO DAY SECONDARY SCHOOL,Sub County,Mixed,
4321,15337212,INONO DAY MIXED SECONDARY SCHOOL,Sub County,Mixed,
4322,15337213,NGUKWINE SECONDARY SCHOOL,Sub County,Mixed,
4323,15337214,MCK KAMBOO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4324,15337215,NAIKURIU SECONDARY SCHOOL,Sub County,Mixed,
4325,15337304,MARIRI SECONDARY SCHOOL,Sub County,Mixed,
4326,15337305,NKANDA SECONDARY SCHOOL,Sub County,Mixed,
4327,15337307,MWERONGUNDU SECONDARY SCHOOL,Sub County,Mixed,
4328,15337308,KIRINDARA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4329,15337311,LINJOKA DAY SECONDARY SCHOOL,Sub County,Mixed,
4330,15337312,MIUINE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4331,15337315,2 0L2U0K UKCNPUEN SUE MCOIXNEDDA SREYC SOCNHDOAORLY C SHCOHIOCEOSL LIST,Sub County,Mixed,
4332,15349101,ST. CYPRIAN BOYS' HIGH SCHOOL,Sub County,Boys,
4333,15349102,KARAMA SECONDARY SCHOOL,Sub County,Boys,
4334,15349103,ST.ANGELAS GIRLS SECONDARY SCHOOL,Sub County,Girls,
4335,15349104,NYAMBENE GIRLS SECONDARY SCHOOL,Sub County,Girls,
4336,15349106,MCK LUUMA SECONDARY SCHOOL,Sub County,Mixed,
4337,15349107,MUTHARA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4338,15349108,ANTUANDURU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4339,15349109,NCHUI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4340,15349110,LUBUATHIRUA MIXED SECONDARY SCHOOL,Sub County,Mixed,
4341,15349112,THUBUKU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4342,15349113,MWEROKIENI DAY SECONDARY SCHOOL,Sub County,Mixed,
4343,15349114,NTIRUTU SECONDARY SCHOOL,Sub County,Mixed,
4344,15349115,LAILUBA MIXED DAY AND BOARDING SECONDARY SCHOOL,Sub County,Mixed,
4345,15349116,KINANGARU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4346,15349117,D.E.B MBARANGA DAY SECONDARY SCHOOL,Sub County,Mixed,
4347,15349118,MABUURUA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4348,15349120,THUURIA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4349,15349121,KAILUTHA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4350,15349122,NTULILI SECONDARY SCHOOL,Sub County,Mixed,
4351,15349123,MCS KIRIMA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4352,15349124,LAIBOCHA DAY SECONDARY SCHOOL,Sub County,Mixed,
4353,15349125,MWEROMUTHANGA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4354,15361102,AMETHO DAY SECONDARY SCHOOL,Sub County,Mixed,
4355,15361103,AMUGAA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4356,15361104,ANKAMIA DAY SECONDARY SCHOOL,Sub County,Mixed,
4357,15361105,DEB KIGUMA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4358,15361107,IKANA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4359,15361110,2 K0A20L UKLCI PMEI XSEECDO DNADYA SREYC SOCNHDOAORLY C SHCOHIOCEOSL LIST,Sub County,Mixed,
4360,15361111,KIGUCHWA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4361,15361112,KING'O MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4362,15361113,MAREGA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4363,15361114,MCK KAATHI BUKWANG DAY MIXED SECONDARY SCHOOL,Sub County,Mixed,
4364,15361116,MIURINE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4365,15361117,MUCIIMUKURU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4366,15361118,MUKONO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4367,15361119,MUTEWA DAY SECONDARY SCHOOL,Sub County,Mixed,
4368,15361121,RURII MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4369,15361122,RWARE GIRLS SECONDARY SCHOOL,Sub County,Girls,
4370,15361123,ST. MASSIMO MIXED SECONDARY SCHOOL,Sub County,Mixed,
4371,15361124,ST. BENEDICTS MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4372,15361125,THUURI DAY SECONDARY SCHOOL,Sub County,Mixed,
4373,15362104,KILIMA MUNGU MIXED SECONDARY SCHOOL,Sub County,Mixed,
4374,15362105,NTURUBA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4375,15362106,THAMARE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4376,15362107,KANGETA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4377,15362108,NKINYANG'A SECONDARY SCHOOL,Sub County,Mixed,
4378,15362109,KIEIYA SECONDARY SCHOOL,Sub County,Mixed,
4379,15362110,KONGO KAMAU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4380,15362111,KANDUBAI DAY SECONDARY SCHOOL,Sub County,Mixed,
4381,15362112,KITHARE DAY SECONDARY SCHOOL,Sub County,Mixed,
4382,15362113,NTUTI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4383,15362114,MUKULULU DAY SECONDARY SCHOOL,Sub County,Mixed,
4384,15362116,MACHUNGULU SECONDARY SCHOOL,Sub County,Mixed,
4385,15362117,KATHELWA SECONDARY SCHOOL,Sub County,Mixed,
4386,15362118,KARAMA ANTUAMUO SECONDARY SCHOOL,Sub County,Mixed,
4387,15362119,2 0T2U0U RKCUP DEA SYE CSOECNODNADRAY RSYC HSOCOHOL OCHLOICES LIST,Sub County,Mixed,
4388,15362120,MURINGENE DAY SECONDARY SCHOOL,Sub County,Mixed,
4389,15362121,ST. JAMES DAY SECONDARY SCHOOL-LIMBUKU,Sub County,Mixed,
4390,15362203,KAURINE DAY SECONDARY SCHOOL,Sub County,Mixed,
4391,15362204,MATIANDUI SECONDARY SCHOOL,Sub County,Mixed,
4392,15362205,NTHAMBIRO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4393,15362206,MIORI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4394,15362207,KATHATHENE SECONDARY SCHOOL,Sub County,Mixed,
4395,15362209,KAWIRU SECONDARY SCHOOL,Sub County,Mixed,
4396,15362210,THIMBILI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4397,15362211,K.K. AARU SECONDARY SCHOOL,Sub County,Mixed,
4398,15362212,KAMIRURU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4399,15362213,AKUUNE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4400,15362214,KABUKURO SECONDARY SCHOOL,Sub County,Mixed,
4401,15362215,KANAATHU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4402,15362216,MURERA SECONDARY SCHOOL,Sub County,Mixed,
4403,15362217,KIUTINE ADVENTIST SECONDARY SCHOOL,Sub County,Mixed,
4404,15362218,KANJOO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4405,15362219,MATIRINE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4406,15364205,MICHOGOMONE SECONDARY SCHOOL,Sub County,Mixed,
4407,15364206,ST. JAMES TUTUA SECONDARY SCHOOL,Sub County,Mixed,
4408,15364207,NCOROIBORO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4409,15364208,RUGETENE DAY SECONDARY SCHOOL,Sub County,Mixed,
4410,15364209,MUTUUMA DAY SECONDARY SCHOOL,Sub County,Mixed,
4411,15364210,KIIRUA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4412,15364211,BUURI HIGH SCHOOL,Sub County,Mixed,
4413,15364212,MITOONE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4414,15364213,RWARERA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4415,15364305,2 0R2U0IB KIC MPIEX ESEDC DOANYD SAERCYO SNCDHAOROYL SCCHHOOICOELS LIST,Sub County,Mixed,
4416,15364306,NTUGI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4417,15364307,NTUMBURI DAY MIXED SECONDARY SCHOOL,Sub County,Mixed,
4418,15364308,MURINYA DAY SECONDARY SCHOOL,Sub County,Mixed,
4419,15364309,MBURUGITI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4420,15364310,LUMAR GIRLS SECONDARY SCHOOL,Sub County,Girls,
4421,16305102,MARSABIT MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4422,16305104,DAKABARICHA SECONDARY SCHOOL,Sub County,Mixed,
4423,16305105,KARARE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4424,16305203,GADAMOJI HIGH SCHOOL,Sub County,Mixed,
4425,16305301,GORO RUKESA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4426,16305303,DIBAYU HIGH SCHOOL,Sub County,Mixed,
4427,16305304,BADASSA MIXED SECONDARY SCHOOL,Sub County,Mixed,
4428,16311104,MANYATTA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4429,16311105,BUTIYE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4430,16311106,DABEL MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4431,16311107,SESSI SECONDARY SCHOOL,Sub County,Mixed,
4432,16311109,ODDA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4433,16311110,TOWNSHIP MIXED DAY SECONDARY SCHOOL,Sub County,Girls,
4434,16311111,HEILU MIXED SECONDARY SCHOOL,Sub County,Mixed,
4435,16321202,NGURUNIT SECONDARY SCHOOL,Sub County,Mixed,
4436,16340203,WALDA COMPLEX SECONDARY SCHOOL,Sub County,Boys,
4437,16340204,URAN SECONDARY SCHOOL,Sub County,Mixed,
4438,16358103,RUSO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4439,16358201,DUKANA HIGH SCHOOL,Sub County,Boys,
4440,16359103,KOROLLE HIGH SCHOOL,Sub County,Boys,
4441,17306104,ST. PAUL'S KIWANJANI SECONDARY SCHOOL,Sub County,Mixed,
4442,17306106,ISIOLO BARRACKS SECONDARY SCHOOL,Sub County,Mixed,
4443,17306109,2 0M2W0 AKNCGPEA ZSAE CGOIRNLDSA SREYC SOCNHDOAORLY C SHCOHICOEOSL LIST,Sub County,Girls,
4444,17306202,WASO SECONDARY SCHOOL,Sub County,Mixed,
4445,17306204,UHURU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4446,17306205,BULAMPYA DAY SECONDARY SCHOOL,Sub County,Mixed,
4447,17306207,LIONS COMPLEX SECONDARY SCHOOL,Sub County,Mixed,
4448,17306303,LEPARUA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4449,17306304,LABARISHEREKI SECONDARY SCHOOL,Sub County,Mixed,
4450,17356103,KORBESA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
4451,18307107,KITONYONI SECONDARY SCHOOL,Sub County,Mixed,
4452,18307108,MUNYUNI SECONDARY SCHOOL,Sub County,Mixed,
4453,18307109,KAMBI MAWE SECONDARY SCHOOL,Sub County,Mixed,
4454,18307110,MANDOI SECONDARY SCHOOL,Sub County,Mixed,
4455,18307112,AIC MUTULANI SECONDARY SCHOOL,Sub County,Mixed,
4456,18307113,NZIU SECONDARY SCHOOL,Sub County,Mixed,
4457,18307114,NTHANGU MIXED DAY AND BOARDING SECONDARY SCHOOL,Sub County,Mixed,
4458,18307115,KIMUUMO SECONDARY SCHOOL,Sub County,Mixed,
4459,18307116,NGOSINI SECONDARY SCHOOL,Sub County,Mixed,
4460,18307117,A.I.C MUTHYOI SECONDARY SCHOOL,Sub County,Mixed,
4461,18307118,MUAMBANI MIXED SECONDARY SCHOOL,Sub County,Mixed,
4462,18307119,KAMBI MAWE BOYS SECONDARY SCHOOL,Sub County,Boys,
4463,18307120,KITHONI SECONDARY SCHOOL,Sub County,Mixed,
4464,18307121,SENDA SECONDARY SCHOOL,Sub County,Mixed,
4465,18307122,SIA SECONDARY SCHOOL,Sub County,Mixed,
4466,18307203,MUKUYUNI SECONDARY SCHOOL,Sub County,Mixed,
4467,18307205,IUANI SECONDARY SCHOOL,Sub County,Mixed,
4468,18307206,KYUMU SECONDARY SCHOOL,Sub County,Mixed,
4469,18307207,ST JOHN BOSCO KYUASINI SECONDARY SCHOOL,Sub County,Mixed,
4470,18307209,MAKULI ACK SECONDARY SCHOOL,Sub County,Mixed,
4471,18307210,2 0N2T0H KUCKPUEL ASE AC.OB.NCD SAERCYO SNCDHAOROYL S CCHHOOIOCELS LIST,Sub County,Mixed,
4472,18307211,ACK UKIA MIXED SECONDARY SCHOOL,Sub County,Mixed,
4473,18307212,UTAATI ACK SECONDARY SCHOOL,Sub County,Mixed,
4474,18307213,AIC IUANI SECONDARY SCHOOL,Sub County,Mixed,
4475,18307214,MUIU SECONDARY SCHOOL,Sub County,Mixed,
4476,18307215,ST FRANCIS KIUUKUNI SECONDARY SCHOOL,Sub County,Mixed,
4477,18307216,AIC KINYUANI SECONDARY SCHOOL,Sub County,Mixed,
4478,18307217,ST PETERS KYAU SECONDARY SCHOOL,Sub County,Mixed,
4479,18307301,KIVANI SECONDARY SCHOOL,Sub County,Mixed,
4480,18307302,KITANDI SECONDARY SCHOOL,Sub County,Mixed,
4481,18307303,KASUNGUNI SECONDARY SCHOOL,Sub County,Mixed,
4482,18307304,MUTULANI SECONDARY SCHOOL,Sub County,Mixed,
4483,18307305,KEE S.A. SECONDARY SCHOOL,Sub County,Mixed,
4484,18307306,NGULUNI SECONDARY SCHOOL,Sub County,Mixed,
4485,18307309,MWEA SECONDARY SCHOOL,Sub County,Mixed,
4486,18323104,KYUU SECONDARY SCHOOL,Sub County,Mixed,
4487,18323106,MUKAATINI SECONDARY SCHOOL,Sub County,Mixed,
4488,18323108,KIKIINI SECONDARY SCHOOL,Sub County,Mixed,
4489,18323110,KINYEE SECONDARY SCHOOL,Sub County,Mixed,
4490,18323111,SYILUNI SECONDARY SCHOOL,Sub County,Mixed,
4491,18323112,SNR CHIEF MUNGUTI SECONDARY SCHOOL,Sub County,Mixed,
4492,18323113,UKALA AIC SECONDARY SCHOOL,Sub County,Mixed,
4493,18323202,KITHUNGO SECONDARY SCHOOL,Sub County,Mixed,
4494,18323203,KITUNDU SECONDARY SCHOOL,Sub County,Mixed,
4495,18323204,NGAI SECONDARY SCHOOL,Sub County,Mixed,
4496,18323206,KILYUNGI SECONDARY SCHOOL,Sub County,Mixed,
4497,18323207,KUSYONGALI SECONDARY SCHOOL,Sub County,Mixed,
4498,18323208,A.C.K ST. JOSEPH'S KYANDOTE SECONDARY SCHOOL,Sub County,Mixed,
4499,18323209,2 0IT2I0T UK CAP.IE.C S SECEOCONNDDAARRYY S CSHCOHOOOL LCHOICES LIST,Sub County,Mixed,
4500,18323210,MUMANI HIGH SCHOOL,Sub County,Mixed,
4501,18323211,SYATHANI SECONDARY SCHOOL,Sub County,Mixed,
4502,18323212,UVUU SECONDARY SCHOOL,Sub County,Mixed,
4503,18323213,ACK ST. STEPHEN KATHEMBONI SECONDARY SCHOOL,Sub County,Mixed,
4504,18323303,NDOO SECONDARY SCHOOL,Sub County,Mixed,
4505,18323305,MAVINDU SECONDARY SCHOOL,Sub County,Mixed,
4506,18323306,TUTUTHA SECONDARY SCHOOL,Sub County,Mixed,
4507,18323308,UVAANI SECONDARY SCHOOL,Sub County,Mixed,
4508,18323309,MALAA SECONDARY SCHOOL,Sub County,Mixed,
4509,18323310,KYAMITHENGE SECONDARY SCHOOL,Sub County,Mixed,
4510,18323312,KYANGUMA SECONDARY SCHOOL,Sub County,Mixed,
4511,18323313,WANZAUNI SECONDARY SCHOOL,Sub County,Mixed,
4512,18323314,UTUMONI SECONDARY SCHOOL,Sub County,Mixed,
4513,18323315,KITOO ABC MIXED SECONDARY SCHOOL,Sub County,Mixed,
4514,18323316,ITETANI GIRLS SECONDARY SCHOOL,Sub County,Girls,
4515,18323318,KWAITHI SECONDARY SCHOOL,Sub County,Mixed,
4516,18324102,MWEINI SECONDARY SCHOOL,Sub County,Mixed,
4517,18324104,MII SECONDARY SCHOOL,Sub County,Mixed,
4518,18324105,THITHI SECONDARY SCHOOL,Sub County,Mixed,
4519,18324106,NGUU SECONDARY SCHOOL,Sub County,Mixed,
4520,18324107,ST MARY'S ITAAVA SECONDARY SCHOOL,Sub County,Mixed,
4521,18324108,MASUMBA SECONDARY SCHOOL,Sub County,Mixed,
4522,18324109,ST. ANTHONY ITIANI SECONDARY SCHOOL,Sub County,Mixed,
4523,18324110,MATUTU SECONDARY SCHOOL,Sub County,Mixed,
4524,18324111,NDUNGUNI MIXED SECONDARY SCHOOL,Sub County,Mixed,
4525,18324112,NDATANI SECONDARY SCHOOL,Sub County,Mixed,
4526,18324114,VOLOLO SECONDARY SCHOOL,Sub County,Mixed,
4527,18324115,2 0M2U0A KNCGPEEN SI EMCIOXENDD ASREYC OSCNHDOAROYL CSHCOHOICOELS LIST,Sub County,Mixed,
4528,18324202,NDUUNDUNE SECONDARY SCHOOL,Sub County,Mixed,
4529,18324203,MBUTHANI SECONDARY SCHOOL,Sub County,Mixed,
4530,18324204,KYEMUNDU SECONDARY SCHOOL,Sub County,Mixed,
4531,18324207,ST. JOSEPH HIGH SCHOOL-TUTINI,Sub County,Mixed,
4532,18324208,KYUMBUNI SECONDARY SCHOOL,Sub County,Mixed,
4533,18324209,MUAMBWANI SECONDARY SCHOOL,Sub County,Mixed,
